id,tokens,ner_tags
144,<PER> Seldon </PER>  étudia la manche de sa tunique neuve.,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
145,"Par habitude
héliconienne, il aurait préféré des couleurs moins vibrantes,
mais, quoi qu’il en soit, il était reconnaissant à <PER> Hummin </PER>  d’avoir
choisi des teintes plus douces que celles qui étaient en usage ici.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
146,"(Il songea à la mise qu’arboraient ses deux agresseurs et frémit
intérieurement.)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147,« Et je suppose que je dois porter ce chapeau ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,"— Dans le secteur impérial, oui.","[0, 0, 0, 0, 0, 0, 0, 0]"
149,"Aller tête nue trahit un
manque de savoir-vivre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
150,"Ailleurs, les usages sont différents.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
151,"»
      <PER> Seldon </PER>  soupira.","[0, 2, 2, 2, 0, 0]"
152,"Le couvre-chef était fait d’un matériau
souple qui moulait son crâne.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
153,"Le bord, tout autour, était à peine
plus étroit que celui du chapeau porté par ses agresseurs.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
154,"<PER> Seldon </PER>  se consola en notant que, lorsqu’il le portait, le bord
s’incurvait assez gracieusement.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
155,« Il n’y a pas de bride sous le menton ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
156,— Bien sûr que non.,"[0, 0, 0, 0, 0, 0]"
157,"Ça, c’est bon pour les jeunes bringues.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
158,— Les jeunes quoi ?,"[0, 0, 0, 0, 0]"
159,— Les jeunes bringues.,"[0, 0, 0, 0, 0, 0]"
160,"Une bringue, c’est une personne qui
s’habille de manière provocante.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
161,"Je suis sûr que vous avez ce
genre d’individus sur Hélicon.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
162,"»
      <PER> Seldon </PER>  renifla.","[0, 2, 2, 2, 0, 0, 0, 0]"
163,"« On en a qui portent les cheveux jusqu’aux
épaules d’un côté et se rasent l’autre côté du crâne.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
164,"» Ce
souvenir le fit rire.","[0, 0, 0, 0, 0, 0, 0]"
165,<PER> Hummin </PER>  eut un léger rictus.,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
166,"« J’imagine que ce doit être
d’une laideur peu commune.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
167,— Pire que ça.,"[0, 0, 0, 0, 0]"
168,"Il y a les chevelus de gauche et les chevelus
de droite, et chaque clan trouve l’autre parfaitement repoussant.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
169,Ils s’affrontent souvent dans des rixes.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
170,"— Dans ce cas, je pense que vous pouvez supporter le
chapeau, surtout sans bride.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
171,"<PER> Seldon </PER> , énervé et incapable de faire de même, remarqua :
« On dirait qu’on marche beaucoup, ici.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
172,"Je vois des files
interminables dans les deux sens ainsi qu’aux carrefours.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
173,— Pourquoi pas ?,"[0, 0, 0, 0]"
174,"La marche est encore le meilleur moyen
de locomotion sur une courte distance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
175,"C’est le plus pratique, le
moins cher, le meilleur pour la santé.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
176,"Les innombrables années
de progrès techniques n’y ont rien changé – êtes-vous
acrophobe, <PER> Seldon </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
177,"»
       <PER> Seldon </PER>  regarda, par-dessus la rambarde à sa droite, la
profonde déclivité qui séparait les deux files de circulation –
 chacune dans un sens, entre les croisements régulièrement
espacés.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
178,Il frémit légèrement.,"[0, 0, 0, 0, 0, 0]"
179,"« Si vous parlez de la peur de
l’altitude, pas en temps normal.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
180,"Malgré tout, j’aime mieux ne
pas regarder en bas.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
181,A quelle hauteur sommes-nous ?,"[0, 0, 0, 0, 0, 0, 0]"
182,"— Quarante ou cinquante étages, à cet endroit, je pense.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
183,"C’est assez fréquent dans le secteur impérial et dans quelques
autres régions fortement développées.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
184,"Partout ailleurs, on
marche quasiment à ce qu’on pourrait considérer comme le
niveau du sol.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
185,"— J’imagine que cela doit encourager les tentatives de
suicide.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
186,— Pas tant que ça.,"[0, 0, 0, 0, 0, 0]"
187,Il y a des méthodes bien plus simples.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
188,"Par ailleurs, le suicide est parfaitement admis sur Trantor.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
189,"Chacun peut mettre un terme à son existence par divers moyens
reconnus dans des centres créés à cette fin – si l’on accepte
auparavant de se soumettre à quelques séances de
psychothérapie.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
190,"Toujours est-il qu’il y a bien quelques
accidents, mais ce n’est pas pour cela que je vous demandais si
vous étiez acrophobe.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
191,"Nous nous dirigeons vers une station de
taxi où je suis connu comme journaliste.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
192,"Je leur ai rendu
quelques services à l’occasion et, de temps en temps, on me
renvoie l’ascenseur.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
193,"On oubliera de m’enregistrer et on ne
remarquera pas que je suis accompagné.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
194,"Bien sûr, il faudra que
je verse un supplément et, là encore, si les sbires de <PER> Demerzel </PER>
insistent un peu trop, ils seront bien obligés de dire la vérité et
de mettre ça sur le compte d’une négligence de gestion, mais ça
peut prendre un temps considérable.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
195,"— Où intervient l’acrophobie, là-dedans ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
196,"— Eh bien, nous pouvons arriver à destination bien plus
vite en prenant un ascenseur gravifique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197,"Il n’y a pas beaucoup
souvent le cas des vieillards sans grandes réussites personnelles.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
198,"Comme je vous le disais, la technique se diversifiera peut-être,
mais d’un autre côté il est fort possible qu’elle ne débouche sur
rien de plus convaincant que cet ascenseur gravifique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
199,— Quel autre débouché espèrent-ils ?,"[0, 0, 0, 0, 0, 0, 0, 0]"
200,s’enquit <PER> Seldon </PER> .,"[0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
201,— La navigation spatiale par antigravité.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
202,"Cela, toutefois,
requerra quantité de percées technologiques et la majorité des
physiciens, à ma connaissance, sont fermement convaincus que
c’est hors de question.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203,"Mais les mêmes physiciens estimaient
déjà que même l’ascenseur gravifique était hors de question.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
204,"»
     La file devant eux diminuait rapidement et bientôt <PER> Seldon </PER>
se retrouva, en compagnie de <PER> Hummin </PER> , près du rebord de la
plate-forme, avec un gouffre béant à ses pieds.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
205,"L’air devant lui
miroitait vaguement.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
206,"Machinalement, il étendit la main et sentit
un léger choc.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
207,C’était indolore mais il retira vivement le bras.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
208,"<PER> Hummin </PER>  grommela : « Précaution élémentaire pour éviter
qu’un imprudent fasse le saut avant d’avoir activé les
commandes.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
209,"» Il pressa quelques chiffres sur le tableau de
contrôle et le miroitement s’évanouit.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
210,"<PER> Seldon </PER>  lorgna par-dessus bord, vers les tréfonds du puits.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
211,"« Vous seriez peut-être plus à l’aise si vous me donniez le
bras et si vous fermiez les yeux.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
212,"Ça ne prendra pas plus de
quelques secondes.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
213,"»
     A vrai dire, <PER> Hummin </PER>  ne lui laissa pas le choix : il le prit par
le bras et, cette fois encore, pas question de lui faire lâcher prise.","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
214,"<PER> Hummin </PER>  avança dans le vide et <PER> Seldon </PER>  (qui, à sa grande honte,
s’entendit pousser un petit couinement) suivit de mauvaise
grâce en titubant.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
215,"Il ferma hermétiquement les yeux et ne ressentit aucune
impression de chute, aucune sensation de courant d’air.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
216,Quelques secondes passèrent et il se sentit tiré en avant.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
217,"Il
trébucha légèrement, reprit son équilibre et se retrouva sur la
terre ferme.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
218,Il rouvrit les yeux : « On a réussi ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
219,"— Nous ne sommes pas morts », répondit sèchement
<PER> Hummin </PER>  avant de s’éloigner, sa poigne ferme forçant <PER> Seldon </PER>  à
le suivre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0]"
220,"« Je veux dire, sommes-nous parvenus au bon niveau ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
221,— Bien entendu.,"[0, 0, 0, 0]"
222,accrochées à la hanche par quelque dispositif indécelable.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
223,"Pseudomagnétique, sans doute.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
224,"Leurs vêtements ne mettaient
pas spécialement en valeur leur silhouette, nota-t-il avec regret,
et aucune n’arborait le moindre décolleté, même si certaines
robes semblaient dessinées pour souligner les fesses.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
225,"En attendant, <PER> Hummin </PER>  s’était affairé et, après avoir
présenté les crédits nécessaires, il était revenu avec la plaquette
de céramique supraconductrice permettant d’activer un aérotaxi
déterminé.","[0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
226,"« Montez, <PER> Seldon </PER>  », dit-il en désignant un petit véhicule à
deux places.","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
227,"« Avez-vous dû signer quelque chose, <PER> Hummin </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
228,— Bien sûr que non.,"[0, 0, 0, 0, 0, 0]"
229,"Ils me connaissent ici, et ne
s’embarrassent pas de formalités.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
230,— Qu’est-ce qu’ils peuvent penser ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
231,"— Personne n’a rien demandé et je ne me suis pas attardé
sur les explications.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
232,"» Il inséra la plaquette et <PER> Seldon </PER>  sentit une
légère vibration quand l’aérotaxi prit vie.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
233,"« On va se diriger vers le D-7 », annonça <PER> Hummin </PER> , histoire
de dire quelque chose.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
234,"<PER> Seldon </PER>  ignorait ce qu’était le D-7, mais il supposait que ce
devait être un itinéraire ou une route quelconque.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
235,"L’aérotaxi se fraya un chemin entre d’autres véhicules à
effet de sol, gagna finalement une rampe lisse et prit de la
vitesse.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
236,Puis il s’éleva avec une légère secousse.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
237,"<PER> Seldon </PER> , qui s’était retrouvé automatiquement attaché par
un filet de sécurité, se sentit d’abord plaqué au fond de son siège
puis poussé vers le haut, contre son harnais.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
238,« Ça ne fait pas du tout le même effet que l’antigravité.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
239,"— Ce n’en est pas, expliqua <PER> Hummin </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
240,"C’était un petit
réacteur.","[0, 0, 0, 0, 0, 0, 0]"
241,Juste de quoi nous amener au niveau des tubes.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
242,"» Une
sorte de falaise apparut devant eux, ponctuée d’ouvertures de
cavernes, un peu comme un damier.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
243,"<PER> Hummin </PER>  manœuvra pour
gagner l’ouverture D-7, évitant les aérotaxis qui se dirigeaient
vers d’autres tunnels.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
244,"« C’est qu’on pourrait s’écraser vite fait », remarqua <PER> Seldon </PER>
en se raclant la gorge.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
245,"« Ce serait le cas si tout dépendait de mes sens et de mes
réactions mais le pilotage est géré par un ordinateur et ce

      « Vous êtes sûr que je serai en sécurité là où vous me
conduisez ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
246,s’enquit <PER> Seldon </PER> .,"[0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
247,"— Tout à fait, pour les mouvements à découvert des forces
impériales.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
248,"Évidemment, pour un agent isolé – espion ou tueur
à gages –, il faut toujours être prudent.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
249,"Je vous fournirai un
garde du corps.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
250,"»
      <PER> Seldon </PER>  se sentait mal à l’aise : « Un tueur à gages ?","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
251,"Vous
êtes sérieux ?","[0, 0, 0, 0]"
252,Auraient-ils vraiment l’intention de me tuer ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
253,— Je suis certain que <PER> Demerzel </PER>  n’y tient pas.,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
254,"Je le
soupçonne de vouloir vous utiliser plutôt que vous éliminer.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
255,"Toutefois, d’autres ennemis peuvent surgir, ou bien il peut
toujours se produire un enchaînement d’événements
malheureux.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
256,"Vous ne pouvez pas traverser l’existence comme
un somnambule.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
257,"»
      <PER> Seldon </PER>  hocha la tête et détourna le visage.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
258,"Penser que,
quarante-huit heures plus tôt, il n’était encore qu’un
mathématicien exo insignifiant et virtuellement inconnu, ravi
de passer le reste de son séjour sur Trantor à faire du tourisme
et à contempler l’énormité de ce vaste monde avec ses yeux de
provincial !","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
259,"Et voilà que l’idée s’ancrait peu à peu en lui : il était
un homme recherché, traqué par les forces impériales.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
260,L’énormité de la situation le saisit et il fut pris de frissons.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
261,"« Et vous, alors, dans cette histoire ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
262,"— Eh bien, répondit <PER> Hummin </PER> , songeur, je suppose que je
n’aurai pas droit à un traitement de faveur.","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
263,"Je pourrais bien
finir le crâne ouvert ou la poitrine défoncée par quelque
mystérieux agresseur qu’on ne retrouvera jamais.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
264,"»
      <PER> Hummin </PER>  avait dit cela sans le moindre tressaillement, sans
la moindre emphase, mais <PER> Seldon </PER>  grimaça.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0]"
265,« Je pensais bien que vous deviez envisager un tel sort.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
266,"Ça
ne semble pas vous... tracasser outre mesure.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
267,— Je suis un vieux Trantorien.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
268,"Je connais la planète mieux
que quiconque.","[0, 0, 0, 0, 0, 0, 0, 0]"
269,"Je connais bien des gens et beaucoup sont en
dette envers moi.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
270,"Je me plais à croire que je suis matois et pas
facile à doubler.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
271,"En bref, <PER> Seldon </PER> , je suis tout à fait certain de
pouvoir me débrouiller.","[0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
272,"— Je suis ravi de vous l’entendre dire et j’espère pour vous
que cette confiance est justifiée, <PER> Hummin </PER> , mais je n’arrive
toujours pas à comprendre pourquoi vous prenez tous ces
risques.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
273,Que suis-je pour vous ?,"[0, 0, 0, 0, 0, 0, 0]"
274,"Pourquoi courir même le
dissoutes.","[0, 0, 0, 0, 0, 0, 0]"
275,"Auquel cas il n’est guère important de se préoccuper
outre mesure des individus, de <PER> l’Empereur </PER>  et du jeune prince
impérial.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
276,"Il n’est guère important de se préoccuper même des
mécanismes de l’Empire.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
277,"Et les quadrillions de gens qui vivent
dans la Galaxie ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
278,"Et eux, alors ?","[0, 0, 0, 0, 0]"
279,"— Les mondes et leurs habitants continueront d’exister, je
suppose.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
280,"— Vous n’éprouvez pas le besoin d’explorer les conditions
éventuelles dans lesquelles leur existence pourrait se
poursuivre ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
281,"— On peut supposer qu’ils vivront en gros comme
maintenant.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
282,— On peut le supposer.,"[0, 0, 0, 0, 0, 0]"
283,"Mais pourrait-on le savoir, par cet
art de la prédiction dont vous avez parlé ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
284,"— La psychohistoire, comme je l’ai baptisée ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
285,"En théorie,
oui.","[0, 0, 0, 0, 0]"
286,"— Et vous n’éprouvez pas le besoin de mettre cette théorie
en pratique ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
