id,tokens,ner_tags
107,"Il fit un effort pour ne pas baisser le
regard.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,"Enfin, <PER> Cléon </PER>  reprit : « Votre psychohistoire, là... si on
pouvait la rendre praticable, elle serait d’une grande utilité,
non ?","[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109,"— D’une énorme utilité, à l’évidence.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,"Savoir ce que recèle
l’avenir, même d’une manière très générale et probabiliste, voilà
qui constituerait un guide nouveau et merveilleux pour nos
actions, un guide comme l’humanité n’en a jamais eu jusqu’à ce
jour.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,"Mais, évidemment... » Il s’interrompit.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,« Eh bien ?,"[0, 0, 0, 0]"
113,s’impatienta <PER> Cléon </PER> .,"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
114,"— Eh bien, il semblerait que, hormis quelques décideurs,
les résultats de l’analyse psychohistorique devraient demeurer
inconnus du grand public.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,— Inconnus !,"[0, 0, 0, 0, 0]"
116,"s’exclama <PER> Cléon </PER> , avec surprise.","[0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
117,— C’est évident.,"[0, 0, 0, 0, 0, 0]"
118,Laissez-moi essayer de vous expliquer.,"[0, 0, 0, 0, 0, 0, 0, 0]"
119,"Si
l’on fait une analyse psychohistorique et que ses résultats sont
livrés au public, les diverses émotions et réactions de l’humanité
en seront aussitôt altérées.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120,"L’analyse psychohistorique, qui se
fonde sur des émotions et des comportements induits dans

      — Pourquoi auriez-vous besoin de moi pour cela ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121,"Les
spécialistes gouvernementaux pourraient faire ces prédictions-
là eux-mêmes en se passant d’intermédiaire.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122,"— Les spécialistes gouvernementaux ne seraient pas aussi
efficaces.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123,"Ils font bien des déclarations de ce genre de temps à
autre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124,On ne les croit pas pour autant.,"[0, 0, 0, 0, 0, 0, 0, 0]"
125,"— Pourquoi me croirait-on, moi ?","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
126,— Vous êtes un mathématicien.,"[0, 0, 0, 0, 0, 0]"
127,"Vous auriez calculé le futur
au lieu d’en avoir eu, disons, l’intuition.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
128,— Mais je ne peux rien calculer de tel !,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,— Et qui le saurait ?,"[0, 0, 0, 0, 0, 0]"
130,» <PER> Cléon </PER>  le fixa en plissant les yeux.,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,Il y eut un silence.,"[0, 0, 0, 0, 0, 0]"
132,<PER> Seldon </PER>  se sentait piégé.,"[2, 2, 2, 0, 0, 0, 0]"
133,"Devant un ordre
direct de <PER> l’Empereur </PER> , serait-il prudent de refuser ?","[0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,"S’il refusait,
il risquait d’être emprisonné ou exécuté.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
135,"Non sans procès, bien
sûr, mais que de difficultés pour que le jugement aille à
l’encontre des vœux d’une bureaucratie pesante, surtout lorsque
celle-ci est aux ordres de <PER> l’Empereur </PER>  du vaste Empire
galactique !","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
136,"Finalement, il répondit : « Ça ne marcherait pas.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,— Pourquoi ?,"[0, 0, 0]"
138,"— Si encore on me demandait de prédire de vagues
généralités qui ne pourraient raisonnablement se réaliser bien
avant que cette génération, voire la suivante, ait disparu, nous
pourrions peut-être nous en sortir ; mais, dans ce cas, les gens
n’y prêteraient guère attention.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,"Peu leur importerait une
éventualité située un siècle ou deux dans l’avenir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
140,"Pour parvenir à des résultats, poursuivit <PER> Seldon </PER> , il me
faudrait prédire des événements aux conséquences plus
directes, plus immédiates.","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
141,"C’est à ceux-là seulement que
réagirait le public.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
142,"Tôt ou tard, cependant – et sans doute plus
tôt que plus tard –, l’une de ces éventualités ne se réaliserait
pas, ce qui mettrait aussitôt fin à ma crédibilité ; qui plus est,
votre popularité risquerait d’en pâtir du même coup, et, pis que
tout, cela mettrait un terme aux recherches en psychohistoire,
de sorte qu’on ne pourrait plus espérer l’améliorer, même si les
progrès futurs en mathématiques pouvaient contribuer à la
rapprocher d’une application pratique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
143,"»
      <PER> Cléon </PER>  se laissa tomber dans un fauteuil et regarda <PER> Seldon </PER> ,
l’air renfrogné.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144,"« Est-ce là tout ce dont vous êtes capables, vous
autres mathématiciens ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
145,Souligner les impossibilités ?,"[0, 0, 0, 0, 0, 0, 0]"
146,audience privée.,"[0, 0, 0]"
147,Et si j’avais eu l’intention de vous assassiner ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,"Ce qui bien sûr n’est pas le cas, <PER> Sire </PER>  », s’empressa-t-il d’ajouter.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
149,<PER> Cléon </PER>  sourit sans humour.,"[2, 2, 2, 0, 0, 0, 0]"
150,"« Mon ami, vous oubliez notre
minutie – et les progrès techniques.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
151,"Nous avons étudié votre
biographie, l’ensemble de votre dossier.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
152,"A votre arrivée, vous
avez été passé au scanner.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
153,"Votre expression et vos empreintes
vocales ont été analysées.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
154,"Nous connaissions en détail votre état
émotionnel ; nous connaissions quasiment vos pensées.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
155,"S’il y
avait eu le moindre doute sur vos intentions, on ne vous aurait
pas permis de m’approcher.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
156,"En fait, vous ne seriez plus en vie à
l’heure qu’il est.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
157,"»
      Une vague de nausée submergea <PER> Seldon </PER>  mais il poursuivit :
« Les Exos ont toujours eu des difficultés à approcher les
Empereurs, même lorsque la technique était moins avancée.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
158,"Or,
presque tous les assassinats sont liés à des révolutions de palais.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
159,"Pour <PER> l’Empereur </PER> , ce sont les proches qui constituent le plus
grand danger.","[0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
160,"Contre ce danger, une fouille méticuleuse des
Exos n’est d’aucune utilité.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
161,"Quant à vos propres fonctionnaires,
vos propres gardes, vos propres intimes, vous ne pouvez les
traiter comme vous m’avez traité.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
162,"— Ça aussi, je le sais, répondit <PER> Cléon </PER> , et au moins aussi
bien que vous.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
163,"En fait, je traite mes proches équitablement sans
leur fournir une seule cause de ressentiment.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
164,"— Quelle absur... », commença <PER> Seldon </PER> , mais il se tut
aussitôt, fort embarrassé.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
165,"« Continuez, fit <PER> Cléon </PER>  avec colère.","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0]"
166,"Je vous ai donné
l’autorisation de parler librement.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
167,Qu’ai-je dit d’absurde ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
168,"— Le mot m’a échappé, <PER> Sire </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
169,"Je voulais dire
« inappropriée ».","[0, 0, 0, 0, 0, 0, 0]"
170,"Cette façon de traiter vos intimes est
inappropriée.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
171,"Vous devez être soupçonneux ; il serait inhumain
de ne pas l’être.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
172,"Un geste ou un mot imprudent, tel que celui
que je viens d’employer, une expression douteuse, et vous voilà
aussitôt sur la défensive, le regard inquisiteur.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
173,"Et la moindre
trace de méfiance met en branle un cercle vicieux.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
174,"L’intime va
déceler cette méfiance, d’où ressentiment de sa part et
modification du comportement, malgré tous ses efforts pour
l’éviter.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
175,"Vous le décelez à votre tour, ce qui accroît vos soupçons,
et en fin de compte, votre interlocuteur est exécuté ou vous êtes
assassiné.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
176,"Ce processus s’est révélé inéluctable pour les
Empereurs des quatre derniers siècles, et ce n’est jamais qu’un
      — Êtes-vous venu pour m’apprendre que l’Empire est
vaste ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
177,"Qu’entendez-vous par là, en disant que cet homme est
comme un cheval fou ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
178,"— Simplement qu’il peut faire beaucoup de mal sans en
avoir nécessairement l’intention.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
179,"Il ne connaît pas sa propre
force.","[0, 0, 0, 0, 0, 0, 0, 0]"
180,Ni son importance.,"[0, 0, 0, 0]"
181,"— Vous avez déduit cela tout seul, <PER> Demerzel </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]"
182,"— Oui, <PER> Sire </PER> .","[0, 0, 0, 2, 2, 2, 0, 0]"
183,C’est un provincial.,"[0, 0, 0, 0, 0, 0]"
184,"Il ne connaît pas Trantor,
ni ses usages.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
185,"Il n’est encore jamais venu sur notre planète, il
ignore les bonnes manières, les façons d’un courtisan.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
186,"Pourtant,
il vous a tenu tête.","[0, 0, 0, 0, 0, 0, 0, 0]"
187,— Et pourquoi pas ?,"[0, 0, 0, 0, 0]"
188,"Je lui avais donné l’autorisation de
parler.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
189,J’ai laissé tomber le protocole.,"[0, 0, 0, 0, 0, 0, 0, 0]"
190,Je l’ai traité en égal.,"[0, 0, 0, 0, 0, 0, 0, 0]"
191,"— Pas tout à fait, <PER> Sire </PER> .","[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
192,"Ce n’est pas dans votre nature de
traiter les autres en égaux.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
193,"Vous avez l’habitude du
commandement.","[0, 0, 0, 0, 0, 0, 0, 0]"
194,"Et même si vous vouliez mettre les gens à
l’aise, peu d’entre eux parviendraient à se détendre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
195,"La plupart
resteraient sans voix ou, pire, se montreraient serviles ou
flagorneurs.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
196,"Or, cet homme vous a tenu tête.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
197,"— Eh bien, vous pouvez admirer son attitude, <PER> Demerzel </PER> ,
mais il ne me plaît pas.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
198,« <PER> Cléon </PER>  semblait songeur et mécontent.,"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
199,"« Avez-vous remarqué qu’il n’a fait aucun effort pour
m’expliquer ses mathématiques ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
200,"Comme s’il savait que je n’en
saisirais pas un traître mot.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201,"— Ce qui aurait été le cas, <PER> Sire </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
202,"Vous n’êtes pas un
mathématicien, ni un scientifique, ni un artiste.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203,"Il y a quantité
de domaines de la connaissance où d’autres en savent plus que
vous.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
204,"C’est leur tâche d’utiliser leurs connaissances pour vous
servir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
205,"Vous êtes <PER> l’Empereur </PER> , ce qui vaut bien toutes leurs
spécialités réunies.","[0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
206,— Croyez-vous ?,"[0, 0, 0, 0, 0]"
207,"Je ne verrais pas d’inconvénient à me
sentir ignorant devant un vieillard ayant accumulé les
connaissances au cours des ans.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
208,"Mais cet homme, <PER> Seldon </PER> , ajuste
mon âge.","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
209,Comment peut-il en savoir autant ?,"[0, 0, 0, 0, 0, 0, 0, 0]"
210,"— Il n’a pas eu à apprendre l’habitude du commandement,
l’art de prendre une décision qui affectera la vie des autres.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
211,"— Parfois, <PER> Demerzel </PER> , je me demande si vous ne vous
moquez pas de moi.","[0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
212,— <PER> Sire </PER>  !,"[0, 2, 2, 2, 0]"
213,protesta <PER> Demerzel </PER> .,"[0, 0, 0, 2, 2, 2, 2, 0, 0]"
214,"— Oui, mais s’il se fait récupérer entre-temps par un de
mes ennemis, disons plutôt un ennemi de l’Empire, car, après
tout, je suis l’Empire, ou si – de son propre chef – il décide de
servir un ennemi... Je n’écarte pas cette hypothèse, voyez-vous.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
215,— Et vous avez parfaitement raison.,"[0, 0, 0, 0, 0, 0, 0]"
216,"Je veillerai à ce que
cela n’arrive pas, mais si, contre toute attente, cela devait se
produire, mieux vaudrait encore que personne ne profite de ses
services plutôt que les voir tomber en de mauvaises mains.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
217,"»
     <PER> Cléon </PER>  paraissait mal à l’aise.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
218,"« Je m’en remets entièrement
à vous, <PER> Demerzel </PER> , mais j’espère que nous n’agirons pas avec
trop de hâte.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
219,"Il pourrait n’être, après tout, que l’inventeur d’une
théorie dépourvue de toute espèce d’application pratique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
220,"— C’est fort possible, <PER> Sire </PER> , mais il serait plus prudent de
partir de l’idée que l’homme est – ou pourrait être – important.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
221,"Nous n’aurons perdu au plus qu’un peu de temps si jamais nous
découvrons que nous nous sommes préoccupés d’une non-
entité.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
222,"Nous risquons de perdre une Galaxie si nous découvrons
que nous avons ignoré quelqu’un d’important.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
223,"— Fort bien, si vous le dites... mais j’espère que je n’aurai
pas à connaître les détails – s’ils s’avéraient déplaisants.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
224,"— Espérons que ce ne sera pas le cas », répondit <PER> Demerzel </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
225,"<PER> Seldon </PER>  avait eu une soirée, une nuit et une partie de la
matinée pour se remettre de son entrevue avec <PER> l’Empereur </PER> .","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
226,"Du
moins l’éclairage des passages, des trottoirs roulants, des places
et des parcs du secteur impérial de Trantor s’était modifié
plusieurs fois, donnant l’impression qu’une soirée, une nuit et
une partie de la matinée s’étaient écoulés.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
227,"Il se trouvait à présent dans un petit parc, installé sur un
siège en plastique qui se moulait exactement à son anatomie et
se révélait confortable.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
228,"A en juger par la lumière, c’était le
milieu de la matinée et l’air était juste assez frais pour paraître
vivifiant sans pour autant être piquant.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
229,En allait-il toujours ainsi ?,"[0, 0, 0, 0, 0, 0, 0]"
230,"Il songea au jour gris, au-
dehors, quand il était allé voir <PER> l’Empereur </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
231,"Et il songea à tous les
jours gris et froids, aux jours torrides, ou pluvieux, ou neigeux,
sur Hélicon, sa planète, et se demanda si ces alternances de
      Vraiment, par toute la Galaxie on parlait de Trantor
comme d’un monde artificiel de métal et de céramique, mais
cette petite enclave paraissait tout à fait rustique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
232,"Les quelques rares badauds qui profitaient du parc
portaient tous des chapeaux légers, parfois tout petits.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
233,"Il y avait
également un joli brin de jeune femme, non loin de là, mais elle
était penchée sur un visionneur et il ne pouvait distinguer ses
traits.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
234,"Un homme passa, lui jeta un bref coup d’œil dénué de
curiosité, puis s’assit sur une chaise en face de lui et se plongea
dans une liasse de télécopies, croisant ses jambes revêtues d’un
pantalon rosé étroit.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
235,"Assez curieusement, il y avait chez les
hommes une tendance aux teintes pastel, alors que les femmes
étaient plutôt vêtues de blanc.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
236,"Vu la propreté de
l’environnement, il était logique de porter des couleurs claires.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
237,"<PER> Seldon </PER>  baissa les yeux, amusé, pour contempler son costume
héliconien, où dominait le brun passé.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
238,"S’il devait rester sur
Trantor – ce qui n’était pas le cas –, il lui faudrait s’acheter une
garde-robe adéquate, sous peine de devenir un objet de
curiosité, de risée ou de répulsion.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
239,"L’homme aux télécopies, par
exemple, l’avait examiné, cette fois-ci avec plus de curiosité,
sans doute intrigué par sa mise exotique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
